Time from Start to Finish (seconds),Q1,Q2,Q3
Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?
1838,35-39,Man,Colombia
289287,30-34,Man,United States of America
860,35-39,Man,Argentina
507,30-34,Man,United States of America
78,30-34,Man,Japan
401,30-34,Man,India
748,22-24,Man,Brazil
171196,25-29,Woman,China
1839,35-38,Man,Colombia
289288,30-33,Man,United States of America
861,35-38,Man,Argentina
508,30-33,Man,United States of America
79,30-33,Man,Japan
402,30-33,Man,India
749,22-23,Man,Brazil
171197,25-28,Woman,China
1840,35-37,Man,Colombia
289289,30-32,Man,United States of America
862,35-37,Man,Argentina
509,30-32,Man,United States of America
80,30-32,Man,Japan
403,30-32,Man,India
750,22-22,Man,Brazil
171198,25-27,Woman,China
1841,35-36,Man,Colombia
289290,30-31,Man,United States of America
863,35-36,Man,Argentina
510,30-31,Man,United States of America
81,30-31,Man,Japan
404,30-31,Man,India
751,22-21,Man,Brazil
171199,25-26,Woman,China
1842,35-35,Man,Colombia
289291,30-30,Man,United States of America
864,35-35,Man,Argentina
511,30-30,Man,United States of America
82,30-30,Man,Japan
405,30-30,Man,India
752,22-20,Man,Brazil
171200,25-25,Woman,China
1843,35-34,Man,Colombia
289292,30-29,Man,United States of America
865,35-34,Man,Argentina
512,30-29,Man,United States of America
83,30-29,Man,Japan
406,30-29,Man,India
753,22-19,Man,Brazil
1839,35-38,Man,Colombia
289288,30-33,Man,United States of America
861,35-38,Man,Argentina
508,30-33,Man,United States of America
79,30-33,Man,Japan
402,30-33,Man,India
749,22-23,Man,Brazil
171197,25-28,Woman,China
1840,35-37,Man,Colombia
289289,30-32,Man,United States of America
862,35-37,Man,Argentina
509,30-32,Man,United States of America
80,30-32,Man,Japan
403,30-32,Man,India
750,22-22,Man,Brazil
171198,25-27,Woman,China
1841,35-36,Man,Colombia
289290,30-31,Man,United States of America
863,35-36,Man,Argentina
510,30-31,Man,United States of America
81,30-31,Man,Japan
404,30-31,Man,India
751,22-21,Man,Brazil
171199,25-26,Woman,China
1842,35-35,Man,Colombia
289291,30-30,Man,United States of America
864,35-35,Man,Argentina
511,30-30,Man,United States of America
82,30-30,Man,Japan
405,30-30,Man,India
752,22-20,Man,Brazil
171200,25-25,Woman,China
1843,35-34,Man,Colombia
289292,30-29,Man,United States of America
865,35-34,Man,Argentina
512,30-29,Man,United States of America
83,30-29,Man,Japan
406,30-29,Man,India
753,22-19,Man,Brazil
171201,25-24,Woman,China
1844,35-33,Man,Colombia
289293,30-28,Man,United States of America
866,35-33,Man,Argentina
513,30-28,Man,United States of America
84,30-28,Man,Japan
407,30-28,Man,India
754,22-18,Man,Brazil
1840,35-37,Man,Colombia
289289,30-32,Man,United States of America
862,35-37,Man,Argentina
509,30-32,Man,United States of America
80,30-32,Man,Japan
403,30-32,Man,India
750,22-22,Man,Brazil
171198,25-27,Woman,China
1841,35-36,Man,Colombia
289290,30-31,Man,United States of America
863,35-36,Man,Argentina
510,30-31,Man,United States of America
81,30-31,Man,Japan
404,30-31,Man,India
751,22-21,Man,Brazil
171199,25-26,Woman,China
1842,35-35,Man,Colombia
289291,30-30,Man,United States of America
864,35-35,Man,Argentina
511,30-30,Man,United States of America
82,30-30,Man,Japan
405,30-30,Man,India
752,22-20,Man,Brazil
171200,25-25,Woman,China
1843,35-34,Man,Colombia
289292,30-29,Man,United States of America
865,35-34,Man,Argentina
512,30-29,Man,United States of America
83,30-29,Man,Japan
406,30-29,Man,India
753,22-19,Man,Brazil
171201,25-24,Woman,China
1844,35-33,Man,Colombia
289293,30-28,Man,United States of America
866,35-33,Man,Argentina
513,30-28,Man,United States of America
84,30-28,Man,Japan
407,30-28,Man,India
754,22-18,Man,Brazil
171202,25-23,Woman,China
1845,35-32,Man,Colombia
289294,30-27,Man,United States of America
867,35-32,Man,Argentina
514,30-27,Man,United States of America
85,30-27,Man,Japan
408,30-27,Man,India
755,22-17,Man,Brazil
1841,35-36,Man,Colombia
289290,30-31,Man,United States of America
863,35-36,Man,Argentina
510,30-31,Man,United States of America
81,30-31,Man,Japan
404,30-31,Man,India
751,22-21,Man,Brazil
171199,25-26,Woman,China
1842,35-35,Man,Colombia
289291,30-30,Man,United States of America
864,35-35,Man,Argentina
511,30-30,Man,United States of America
82,30-30,Man,Japan
405,30-30,Man,India
752,22-20,Man,Brazil
171200,25-25,Woman,China
1843,35-34,Man,Colombia
289292,30-29,Man,United States of America
865,35-34,Man,Argentina
512,30-29,Man,United States of America
83,30-29,Man,Japan
406,30-29,Man,India
